method,apparel,electronics,furniture,home_decor,jewelry,kitchen,outdoor,__all__
background_only,0.792292842398519,0.8147243353682505,0.7835599333047867,0.7523654526897839,0.8239958062767982,0.7699822569793126,0.82523674482391,0.7947755739647137
clearshot,0.7513080835342407,0.7512531889156556,0.7683215819632829,0.7278484565871103,0.793070116546005,0.7496533916806275,0.7998902116503034,0.7625544259989027
opencv,0.5524366469378921,0.5457337900576457,0.5698572716105785,0.565332430973649,0.5738879419513978,0.5237982278373444,0.6213060548262936,0.5651014243177173
pil_auto,0.5178019958075838,0.5694682230307183,0.47931452479157877,0.5071309982665948,0.5122630871483125,0.4959311748872388,0.5886838762533098,0.5250111567529012
sd_no_lora,0.7558845769667971,0.7530581061269196,0.7709032868716255,0.7311507118599755,0.7941385507583618,0.7573549910536352,0.8052780699162256,0.7661956927252025
