method,n,psnr_mean,psnr_median,psnr_std,ssim_mean,ssim_median,ssim_std,lpips_mean,lpips_median,lpips_std,fid
background_only,457,18.45386075608318,18.89702796936035,5.649736753685248,0.7947755739647137,0.8352653384208679,0.1413981501646455,0.3261247657288347,0.2794695496559143,0.20214812657162778,91.31008187064265
clearshot,457,17.944393039010546,18.497671127319336,5.213778724251924,0.7625544259989027,0.801590621471405,0.14835634850530607,0.3221787189009153,0.2724035978317261,0.1854015785960846,88.66617381198199
opencv,457,12.28823886971505,10.961505889892578,4.810312004549183,0.5651014243177173,0.6516386866569519,0.2777793064098127,0.6262531560892545,0.5563070178031921,0.3469800100585636,97.59768758923087
pil_auto,457,12.824837372652551,11.961620330810549,4.89483414690674,0.5250111567529012,0.589421272277832,0.2510382865299289,0.6071513717223765,0.5362650156021118,0.3333535528699021,94.08629009585144
sd_no_lora,457,17.927449636960187,18.518768310546875,5.22111290293012,0.7661956927252025,0.8046483397483826,0.1490391866466235,0.3369809347704151,0.2918689846992492,0.190528136301448,88.04322124166049
