method,apparel,electronics,furniture,home_decor,jewelry,kitchen,outdoor,__all__
background_only,19.94286560666734,20.50219782977037,17.18204678706269,15.865424830572946,19.16475059837103,17.00286550341912,19.2417112683493,18.45386075608318
clearshot,19.068530967270117,18.91689942588269,17.177667237039824,15.684591092382158,18.909904405474663,16.836460491396345,18.894726246122328,17.944393039010546
opencv,12.74214672005695,11.411788705369117,12.30089229612208,13.18467356818063,11.170392617583275,12.77803763803446,12.492888662550184,12.28823886971505
pil_auto,14.42189801948658,13.570032435403743,11.374572568864965,12.803833198547363,10.283394619822502,13.88086161523495,13.494917551676432,12.824837372652551
sd_no_lora,18.99932797749837,18.884384128409373,17.124824901125326,15.671279311180115,18.888997428119183,16.937507980274706,18.891476222446986,17.927449636960187
