method,apparel,electronics,furniture,home_decor,jewelry,kitchen,outdoor,__all__
background_only,0.3263081805645555,0.21653419308049576,0.3687485817875435,0.4260186422084059,0.3141160735394805,0.3790329389695851,0.2607966883196717,0.3261247657288347
clearshot,0.31992506786533026,0.23296638683114249,0.35558471539572106,0.41793386435934476,0.3072393274051137,0.36448150078924196,0.26285473742182286,0.3221787189009153
opencv,0.6526317021984985,0.6326791303048671,0.6229032473777657,0.6052294294748988,0.6552801021025516,0.6595018205918232,0.5595839042216539,0.6262531560892545
pil_auto,0.6051487964780434,0.5572751582088605,0.638033482454606,0.6297318509646824,0.6710304653970525,0.6428038679977071,0.5127356508894573,0.6071513717223765
sd_no_lora,0.33999052060687024,0.25419829722861165,0.36638189941199856,0.43090787295784266,0.32607981946785003,0.3740656376587895,0.2712243897692551,0.3369809347704151
