image_id,category,variant,psnr,ssim
91hz7zu7qBL,apparel,0,8.808601362963074,0.64139250259541
71MQo6ExrAL,apparel,0,13.035177264940522,0.7269724756110112
61IApqrJPNL,electronics,0,10.867957145097959,0.5209259819311467
81-Kg+BmzOL,apparel,0,10.290955347757254,0.745773772231852
81UOFvevRvL,electronics,0,13.68830116359054,0.7584186376488826
91Y0WJZ5XkL,furniture,0,10.72062431829921,0.6722554213807509
71q4bo0srHL,furniture,0,10.118130251136623,0.3107177743366956
71R6rN1Wd1L,electronics,0,12.050742437712099,0.2726234995001166
51yquhtWyDL,apparel,0,13.880150385755783,0.8852325310915617
71bh3GEyFgL,home_decor,0,7.944446301135545,0.6936216512708133
81oT+Cti6oL,apparel,0,14.679711129819967,0.8634396261632662
81p6TbLj09L,furniture,0,8.585588639038246,0.6238305538771293
71Sn1YL0vWL,apparel,0,20.389008084240952,0.19798255960938854
61ImM2DqXvL,apparel,0,12.626156057262367,0.8344144353159398
71uTH+XhhbL,furniture,0,13.344274033951251,0.920870062538045
71cR6pU3PIL,electronics,0,9.340633744657545,0.42911917559918883
91nPRVy15hL,home_decor,0,13.99643977464753,0.7999814527030787
81DV+dV0+5L,furniture,0,5.550147735999024,0.6384729365261956
71jMTx61YLL,furniture,0,7.132538471559014,0.6917558101116077
71l854wFpsL,furniture,0,8.043175400415599,0.7953682634946843
61bAA4q0SnL,apparel,0,9.093184745961556,0.8120178091820597
61Vp6nV9C5L,home_decor,0,11.461311039953985,0.8593373796760242
71KfQYWUm7L,furniture,0,6.118376248480323,0.0881917093738386
81t9x7ARJWL,apparel,0,17.311192105601467,0.9424565688331825
91eJFxeK37L,outdoor,0,27.445441135182964,0.7098633089791301
71AD+6w7HqL,jewelry,0,7.242939393098232,0.7543005192148425
51nDXbP4EcL,furniture,0,7.868724197194146,0.6250653535483006
71ZM3of6aKL,outdoor,0,7.463423815911869,0.7908375498554896
61XBDUqoHRL,home_decor,0,10.7922523499297,0.8934956835283245
71DJ95UbMAL,electronics,0,18.366358744142527,0.8093242874313016
815rtcvUS7L,outdoor,0,12.591248424408427,0.8151973559785219
71h1XQrYcXL,apparel,0,10.647398097553841,0.8647876564027223
91hexer7FwL,apparel,0,23.584222542258736,0.8067253320255868
817Qp06s0oL,apparel,0,13.087383632730171,0.8288991980219081
71SS+n+f7SL,home_decor,0,9.668224821913107,0.4317407570068194
71OeybiQl3L,electronics,0,21.702395851211172,0.7289138474098648
619NqJC6-AL,electronics,0,13.491149339328793,0.6211275244312918
71vjZPrn9TL,kitchen,0,6.969822233027662,0.8086011078915588
81rRA0QBzOS,home_decor,0,13.323427312203327,0.2543456687877403
71uKABkOtQL,jewelry,0,7.299328300493055,0.7185045142793828
A1qxzw0XVHL,home_decor,0,26.5749945543298,0.8214524400771842
81TKQV+q7RL,home_decor,0,13.876712966142218,0.8324840539829842
71ibj1-qoPL,kitchen,0,14.569980006764416,0.7628928240449856
51WNblLGZjL,kitchen,0,7.312393656867665,0.39902928902226614
71IOdgKWfbL,furniture,0,14.96004374119488,0.9151127910397385
61nnfeTN-JL,apparel,0,23.811905566606878,0.918327340747514
61bZqcA7E1L,electronics,0,15.920983233004398,0.7508667487668284
61yMUmX6d9L,electronics,0,17.266170000189337,0.3277604737873581
91hAq0Y2L+L,furniture,0,21.366070089373885,0.3257231550834783
71VpZ3SNiIL,electronics,0,20.604406619737688,0.39107785466041184
71S+Sfc5dPL,electronics,0,11.885262544463465,0.8556142368669639
816nLkb8wgL,electronics,0,14.41814920150333,0.8232277211292427
61gBlatIIGL,furniture,0,22.70352334221624,0.8930598556051912
81gg-3jfQWL,apparel,0,35.49219490420578,0.940437406316839
81-Mb+CoM1L,apparel,0,10.68561110910042,0.665503485057266
81MACkRSD6L,apparel,0,10.548221943610162,0.8643048144221419
81AyLX2Qa7L,electronics,0,12.923987577329179,0.8764681988565053
61bJYH9RDxL,apparel,0,17.757630198660337,0.5705708166191171
717SH+pgL0L,jewelry,0,16.25750424268409,0.6382520496281087
91Zqm3yhvrL,home_decor,0,6.490525841571209,0.30218127680342055
71nLvzp3BzL,apparel,0,39.645004380996724,0.9735010550419139
51N4dsJfWVL,home_decor,0,10.610426494896288,0.45199525732873186
71XSzv-xRwL,furniture,0,10.354978571433636,0.8806300000724276
71BInWUvGcL,electronics,0,10.229326875369951,0.8001913713365082
71Cn0pDvt5L,jewelry,0,9.622705037984613,0.8129821903272069
81x1dGJywGL,apparel,0,7.784084790997988,0.632870471096431
81xvYokjjJL,apparel,0,12.428851928255193,0.7364517716618378
71sNLqIs+zL,jewelry,0,19.903461434202367,0.7225146457995163
71vFFiR9McL,apparel,0,11.599616880439614,0.718451964687174
51aquWsRvGL,furniture,0,5.461257020354956,0.5805345770588491
61Q6LzXWyxL,furniture,0,9.790628189428135,0.8698195180650242
717GXlDvqcL,electronics,0,9.765998741290677,0.817264335044746
918+2V-A2fL,home_decor,0,13.59463304124715,0.7159337906432622
61Wr2QZN7-L,jewelry,0,12.64135836174881,0.8945616560227271
81CC1pws2DL,furniture,0,14.416451016673106,0.227323089788585
61fzRGqXTxL,outdoor,0,6.557377752604375,0.8137427268709314
71XLSlTyZ3L,apparel,0,14.211852392248826,0.8360833294306254
