,clean_width,clean_height,clean_aspect_ratio,clean_megapixels,clean_file_size_kb,clean_brightness,clean_contrast,clean_sharpness,clean_colorfulness,degraded_width,degraded_height,degraded_aspect_ratio,degraded_megapixels,degraded_file_size_kb,degraded_brightness,degraded_contrast,degraded_sharpness,degraded_colorfulness
count,24131.0,24131.0,24131.0,24131.0,24131.0,24131.0,24131.0,24131.0,24131.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0
mean,512.0,512.0,1.0,0.2621440000000001,38.42941230937384,199.23900486270816,61.180985736763226,109.97847497834331,23.213401117966818,512.0,512.0,1.0,0.26214400000000004,37.07815185546875,146.78669930458068,47.363678667733176,1116.3851931143715,20.212538204692304
std,0.0,0.0,0.0,1.1102460294225528e-16,17.70785220153951,38.845234782716034,26.34446952944341,151.33482054600114,23.29898247138127,0.0,0.0,0.0,5.552503422540543e-17,31.842404249440495,43.90233882689993,18.903851092166686,3222.4444174037067,17.121366271537482
min,512.0,512.0,1.0,0.262144,6.4140625,25.750713348388672,1.6407826422724623,0.1905899047269486,0.0,512.0,512.0,1.0,0.262144,4.619140625,31.436885833740234,0.1094171568399963,0.01343536376953125,0.0
25%,512.0,512.0,1.0,0.262144,26.015625,179.02630615234375,40.678871801959936,38.148910496238386,5.02940034866333,512.0,512.0,1.0,0.262144,16.049072265625,115.15556716918945,33.36854131286296,15.827072143321857,9.222965717315674
50%,512.0,512.0,1.0,0.262144,34.9287109375,207.89223098754883,62.44452484525152,66.83075714111328,16.159635543823242,512.0,512.0,1.0,0.262144,26.0908203125,146.31352424621582,44.50454912936377,36.77751387398166,14.516804218292236
75%,512.0,512.0,1.0,0.262144,46.53662109375,228.45433616638184,82.40147316516885,128.35353222278354,32.84616661071777,512.0,512.0,1.0,0.262144,43.707275390625,177.46948432922363,59.25450465502664,151.07993112813347,25.678997039794922
max,512.0,512.0,1.0,0.262144,176.75,254.45092391967773,118.86921392133274,5995.832349712824,150.64878845214844,512.0,512.0,1.0,0.262144,159.55859375,254.99754333496094,117.13341071021097,23521.377291467597,115.87451171875
